db_id,id,question,query,hardness,split,label,prediction,system,number_of_joins,number_of_projections,number_of_filters,number_of_aggregations,number_of_set_operations,number_of_subqueries,run,v1-v2-change,v1-v3-change,v2-v3-change,hardness_numeric,query_length,number_of_keywords,full_column_match,full_value_match,partial_column_match,question_similarity_train_query_id,similarity_score_nl,sql_similarity_train_query_id,similarity_score_sql
exp_v2,2,Against which team did Switzerland loose in 2018,"SELECT T1.teamname, T5.teamname, T2.home_team_goals, T4.away_team_goals  FROM national_team AS T1  JOIN plays_as_home AS T2 ON T1.team_id = T2.team_id JOIN match AS T3 ON T2.match_id = T3.match_id  JOIN plays_as_away AS T4 ON T3.match_id = T4.match_id JOIN national_team AS T5 ON T4.team_id = T5.team_id  WHERE T5.teamname = 'Switzerland' and T3.year = 2018 and T3.did_home_win = 'True' UNION SELECT T6.teamname, T10.teamname, T7.away_team_goals, T9.home_team_goals  FROM national_team AS T6  JOIN plays_as_away AS T7 ON T6.team_id = T7.team_id   JOIN match AS T8 ON T7.match_id = T8.match_id JOIN plays_as_home AS T9 ON T8.match_id = T9.match_id   JOIN national_team AS T10 ON T9.team_id = T10.team_id  WHERE T10.teamname = 'Switzerland' and T8.year = 2018 and T8.did_home_win = 'False' and T8.is_draw = 'False'",extra,200,False,select distinct t1.teamname from national_team as t1 join plays_as_home as t2 on t1.team_id = t2.team_id join match as t3 on t2.match_id = t3.match_id join plays_as_away as t4 on t3.match_id = t4.match_id join national_team as t5 on t4.team_id = t5.team_id where t5.teamname = 'Switzerland' and t3.year = 2018,T5-Picard-Keys,8,4,9,0,1,0,0.0,True,True,True,4,812,1,0,7,9,600,0.761025488,852,0.769704433
exp_v2,6,All players that have the shirt number 13 and their name start with 'Alex',"select player.player_name
 from player join player_fact on player.player_id = player_fact.player_id
 where player_fact.shirt_number = 13
 and player.player_name like 'Alex%'
 group by player.player_name",extra,200,False,select t1.player_name from player as t1 join player_fact as t2 on t1.player_id = t2.player_id where t2.shirt_number = 13 and t1.player_name like '%alex%',T5-Picard-Keys,1,1,2,0,0,0,0.0,True,True,False,4,202,2,1,8,11,848,0.679871678,310,0.465346535
exp_v2,11,At how many woldcups did italy participate in?,SELECT count(*) FROM national_team AS T1 WHERE T1.teamname = 'Italy',easy,200,False,select count(*) from national_team as t1 join plays_as_home as t2 on t1.team_id = t2.team_id where t1.teamname = 'Italy',T5-Picard-Keys,0,1,1,1,0,0,0.0,False,False,False,1,68,0,0,4,2,792,0.989650965,792,1.0
exp_v2,22,For which club does Maradonna play,"select T3.club_name
 from player as T1
 join player_club_team as T2 on T1.player_id = T2.player_id
 join club as T3 on T2.club_id = T3.club_id
 where T1.player_name like '%Maradona%'",extra,200,True,select distinct t1.club_team_name from player_club_team as t1 join player as t2 on t1.player_id = t2.player_id where t2.player_name = 'Maradona',T5-Picard-Keys,2,1,1,0,0,0,0.0,False,False,False,4,182,0,0,0,3,469,0.914927781,41,0.951871658
exp_v2,51,Give me all matches where stage is Quarter-finals including the teamnames ordered descending by year\n,"SELECT m.year, nt.teamname, nt2.teamname, mht.home_team_goals, mat.away_team_goals  FROM match AS m      JOIN plays_as_home as mht on m.match_id = mht.match_id      JOIN national_team as nt on mht.team_id = nt.team_id      JOIN plays_as_away as mat on m.match_id = mat.match_id      JOIN national_team as nt2 on nt2.team_id = mat.team_id  where m.stage = 'Quarter-finals'  order by m.year desc;",extra,200,False,"select t1.match_id, t2.teamname from match as t1 join national_team as t2 on t1.match_id = t2.team_id where t1.stage = 'Quarter-finals' order by t2.year desc;",T5-Picard-Keys,4,5,2,0,0,0,0.0,True,True,True,4,394,1,1,1,4,50,0.749126554,50,0.822335025
exp_v2,89,Give me the year of the first world cup played.,select t1.year from world_cup as t1 order by t1.year asc limit 1;,medium,200,True,select min(t1.year) from world_cup as t1,T5-Picard-Keys,0,1,0,0,0,0,0.0,False,False,False,2,65,0,1,9,6,461,0.851404965,88,0.643678161
exp_v2,94,How many games did Brazil win?,"SELECT count(*)
FROM national_team AS T1
    JOIN plays_as_home AS T2 on T1.team_id = T2.team_id
    JOIN match AS T3 ON T2.match_id = T3.match_id
    JOIN plays_as_away AS T4 on T3.match_id = T4.match_id
    JOIN national_team AS T5 ON T4.team_id = T5.team_id
 WHERE T1.teamname = 'Brazil' AND T2.home_team_goals > T4.away_team_goals
       OR T5.teamname = 'Brazil' AND T2.home_team_goals < T4.away_team_goals;",extra,200,False,select count(*) from match as t1 join plays_as_home as t2 on t1.match_id = t2.match_id join national_team as t3 on t2.team_id = t3.team_id where t3.teamname = 'Brazil' and t1.did_home_win = 'True',T5-Picard-Keys,4,1,4,1,0,0,0.0,True,True,True,4,412,0,0,4,3,170,0.919406831,90,0.675736961
exp_v2,104,How many goals did each player score over all encounters between Germany with Brazil after 2000?,"select nt.teamname, p.player_name, count(*)
 from player as p
 join player_fact as pf on p.player_id = pf.player_id
 join national_team as nt on pf.team_id = nt.team_id
 where pf.player_id in (
 select mf.player_id
 from match as m
 join match_fact as mf on m.match_id = mf.match_id
 join plays_as_home as mht on mht.match_id = m.match_id
 join national_team as n on n.team_id = mht.team_id
 join plays_as_away as mat on mat.match_id = m.match_id
 join national_team as ot on mat.team_id = ot.team_id
 where mf.goal = 'true' and n.teamname = 'Brazil' and ot.teamname = 'Germany' OR mf.goal = 'true' and n.teamname = 'Germany' and ot.teamname = 'Brazil') and nt.year > 2000
 GROUP BY nt.teamname, p.player_name
 ORDER BY count(*) DESC",extra,200,False,"select t1.player_name, count(*) from player as t1 join match_fact as t2 on t1.player_id = t2.player_id join match as t3 on t2.match_id = t3.match_id join national_team as t4 on t4.team_id = t2.team_id where t4.teamname = 'Germany' and t4.teamname = 'Brazil' and t3.year > 2000 union select t1.player_name, count(*) from player as t1 join match as t2 on t1.player_id = t2.match_id join national_team as t3 on t1.player_id = t3.team_id where t3.year > 2000",T5-Picard-Keys,7,3,9,2,0,1,0.0,True,True,True,4,733,3,1,7,11,100,0.826116323,234,0.944065484
exp_v2,108,How many Goals did Germany score against Brazil?,"SELECT T3.year, T4.away_team_goals
 FROM national_team AS T1
 JOIN plays_as_home AS T2 on T1.team_id = T2.team_id
 JOIN match AS T3 on T2.match_id = T3.match_id
 JOIN plays_as_away AS T4 ON T3.match_id = T4.match_id
 JOIN national_team AS T5 ON T5.team_id = T4.team_id
 WHERE T1.teamname = 'Brazil' and T5.teamname = 'Germany'
UNION
SELECT T3.year, T2.home_team_goals
 FROM national_team AS T1
 JOIN plays_as_home AS T2 on T1.team_id = T2.team_id
 JOIN match AS T3 on T2.match_id = T3.match_id
 JOIN plays_as_away AS T4 ON T3.match_id = T4.match_id
 JOIN national_team AS T5 ON T5.team_id = T4.team_id
 WHERE T1.teamname = 'Germany' and T5.teamname = 'Brazil'",extra,200,False,select count(*) from match_fact as t1 join plays_as_home as t2 on t1.match_id = t2.match_id join national_team as t3 on t2.team_id = t3.team_id where t3.teamname = 'Germany' and t3.teamname = 'Brazil',T5-Picard-Keys,8,2,4,0,1,0,0.0,True,True,True,4,659,0,1,4,9,127,0.879765451,439,0.826215022
exp_v2,120,How many goals did Ronaldo Score?,"SELECT T2.player_name, count(*) FROM match_fact AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id
 WHERE T1.goal = 'true' and T2.player_name ilike '%Ronaldo%'
 group by T2.player_name;",hard,200,False,select count(*) from match_fact as t1 join player as t2 on t1.player_id = t2.player_id where t1.goal = 'true' and t2.player_name = 'Ronaldo',T5-Picard-Keys,1,2,2,1,0,0,0.0,True,True,False,3,189,0,1,2,9,118,0.961142957,110,0.968253968
